FID,NAME,KODE_KEC,KODE_KD,KODE_KK,KODE_PROV,TIPE_KD,KECAMATAN,KEL_DESA,KAB_KOTA,PROVINSI,JENIS_KD
28617,Pasir Endah,32.73.26,32.73.26.1003,32.73,32,2,Ujungberung,Pasir Endah,Kota Bandung,Jawa Barat,Kelurahan
28619,Pasir Impun,32.73.30,32.73.30.1003,32.73,32,2,Mandalajati,Pasir Impun,Kota Bandung,Jawa Barat,Kelurahan
28641,Pasirlayung,32.73.14,32.73.14.1006,32.73,32,2,Cibeunying Kidul,Pasirlayung,Kota Bandung,Jawa Barat,Kelurahan
28649,Pasteur,32.73.07,32.73.07.1001,32.73,32,2,Sukajadi,Pasteur,Kota Bandung,Jawa Barat,Kelurahan
28718,Sadang Serang,32.73.02,32.73.02.1003,32.73,32,2,Coblong,Sadang Serang,Kota Bandung,Jawa Barat,Kelurahan
28729,Sarijadi,32.73.01,32.73.01.1004,32.73,32,2,Sukasari,Sarijadi,Kota Bandung,Jawa Barat,Kelurahan
28743,Sekeloa,32.73.02,32.73.02.1005,32.73,32,2,Coblong,Sekeloa,Kota Bandung,Jawa Barat,Kelurahan
28758,Sindang Jaya,32.73.30,32.73.30.1004,32.73,32,2,Mandalajati,Sindang Jaya,Kota Bandung,Jawa Barat,Kelurahan
28795,Sukabungah,32.73.07,32.73.07.1005,32.73,32,2,Sukajadi,Sukabungah,Kota Bandung,Jawa Barat,Kelurahan
28801,Sukagalih,32.73.07,32.73.07.1004,32.73,32,2,Sukajadi,Sukagalih,Kota Bandung,Jawa Barat,Kelurahan
28825,Sukaluyu,32.73.18,32.73.18.1002,32.73,32,2,Cibeunying Kaler,Sukaluyu,Kota Bandung,Jawa Barat,Kelurahan
28856,Sukapada,32.73.14,32.73.14.1005,32.73,32,2,Cibeunying Kidul,Sukapada,Kota Bandung,Jawa Barat,Kelurahan
28859,Sukaraja,32.73.06,32.73.06.1006,32.73,32,2,Cicendo,Sukaraja,Kota Bandung,Jawa Barat,Kelurahan
